 Renda média domiciliar per capita - Santa Catarina
Renda média domic. per capita por Município
Período:2010
"Município";"Renda_média_domic._per_capita"
"421340 Ponte Serrada";581,73
"421350 Porto Belo";841,40
"421360 Porto União";854,87
"421370 Pouso Redondo";711,83
"421380 Praia Grande";581,43
"421390 Presidente Castello Branco";1255,54
"421400 Presidente Getúlio";924,07
"421410 Presidente Nereu";922,65
"421415 Princesa";625,42
"421420 Quilombo";662,03
"421430 Rancho Queimado";810,19
"421440 Rio das Antas";736,41
"421450 Rio do Campo";791,53
"421460 Rio do Oeste";932,84
"421480 Rio do Sul";1095,41
"421470 Rio dos Cedros";793,66
"421490 Rio Fortuna";1570,54
"421500 Rio Negrinho";659,96
"421505 Rio Rufino";453,06
"421507 Riqueza";623,43
"421510 Rodeio";948,56
"421520 Romelândia";791,08
"421530 Salete";781,40
"421535 Saltinho";422,97
"421540 Salto Veloso";1010,51
"421545 Sangão";726,62
"421550 Santa Cecília";587,01
"421555 Santa Helena";639,29
"421560 Santa Rosa de Lima";731,38
"421565 Santa Rosa do Sul";620,42
"421567 Santa Terezinha";381,48
"421568 Santa Terezinha do Progresso";568,81
"421569 Santiago do Sul";721,19
"421570 Santo Amaro da Imperatriz";859,45
"421580 São Bento do Sul";888,29
"421575 São Bernardino";462,81
"421590 São Bonifácio";734,20
"421600 São Carlos";920,13
"421605 São Cristovão do Sul";498,85
"421610 São Domingos";953,33
"421620 São Francisco do Sul";790,47
"421630 São João Batista";778,40
"421635 São João do Itaperiú";680,23
"421625 São João do Oeste";880,06
"421640 São João do Sul";548,79
"421650 São Joaquim";622,92
"421660 São José";1137,86
"421670 São José do Cedro";866,19
"421680 São José do Cerrito";368,29
"421690 São Lourenço do Oeste";833,55
"421700 São Ludgero";881,54
"421710 São Martinho";869,36
"421715 São Miguel da Boa Vista";767,07
"421720 São Miguel do Oeste";1066,88
"421725 São Pedro de Alcântara";885,22
"421730 Saudades";718,38
"421740 Schroeder";850,85
"421750 Seara";1185,14
"421755 Serra Alta";893,24
"421760 Siderópolis";852,64
"421770 Sombrio";734,34
"421775 Sul Brasil";671,35
"421780 Taió";843,20
"421790 Tangará";840,89
"421795 Tigrinhos";573,71
"421800 Tijucas";803,54
"421810 Timbé do Sul";686,96
"421820 Timbó";1209,03
"421825 Timbó Grande";406,47
"421830 Três Barras";522,48
"421835 Treviso";778,89
"421840 Treze de Maio";744,19
"421850 Treze Tílias";1462,75
"421860 Trombudo Central";885,63
"421870 Tubarão";1063,52
"421875 Tunápolis";742,70
"421880 Turvo";808,69
"421885 União do Oeste";634,78
"421890 Urubici";698,00
"421895 Urupema";508,72
"421900 Urussanga";877,93
"421910 Vargeão";651,17
"421915 Vargem";416,36
"421917 Vargem Bonita";635,23
"421920 Vidal Ramos";722,65
"421930 Videira";968,62
"421935 Vitor Meireles";535,28
"421940 Witmarsum";781,24
"421950 Xanxerê";869,36
"421960 Xavantina";967,36
"421970 Xaxim";771,49
"421985 Zortéa";860,19
"420000 Município ignorado - SC";...
"Total";967,45
 Fonte: IBGE - Censos Demográficos
 Notas:
 
 O salário mínimo do último ano para o qual a série está sendo calculada torna-se a referência para toda a série. Esse valor é corrigido
 para todos com base no INPC de julho de 2010, alterando o valor da linha de pobreza e consequentemente a proporção de pobres.
 Nesta tabela, o valor de referência, salário mínimo de 2010, é de R$ 510,00.
 
 Consulte o sítio da Secretaria Estadual de Saúde e do
 IBGE para mais informações.
