 Proporção de pessoas com baixa renda - Santa Catarina
% população com renda < 1/2 SM por Município
Período:2010
"Município";"%_população_com_renda_<_1/2_SM"
"421350 Porto Belo";11,79
"421360 Porto União";20,60
"421370 Pouso Redondo";17,81
"421380 Praia Grande";25,74
"421390 Presidente Castello Branco";9,10
"421400 Presidente Getúlio";7,00
"421410 Presidente Nereu";15,62
"421415 Princesa";22,08
"421420 Quilombo";17,40
"421430 Rancho Queimado";9,31
"421440 Rio das Antas";16,82
"421450 Rio do Campo";20,87
"421460 Rio do Oeste";14,06
"421480 Rio do Sul";9,01
"421470 Rio dos Cedros";6,09
"421490 Rio Fortuna";3,72
"421500 Rio Negrinho";20,85
"421505 Rio Rufino";36,11
"421507 Riqueza";25,10
"421510 Rodeio";7,02
"421520 Romelândia";21,40
"421530 Salete";15,43
"421535 Saltinho";45,23
"421540 Salto Veloso";15,66
"421545 Sangão";11,45
"421550 Santa Cecília";36,24
"421555 Santa Helena";19,56
"421560 Santa Rosa de Lima";4,19
"421565 Santa Rosa do Sul";17,66
"421567 Santa Terezinha";47,74
"421568 Santa Terezinha do Progresso";39,14
"421569 Santiago do Sul";21,08
"421570 Santo Amaro da Imperatriz";8,80
"421580 São Bento do Sul";15,60
"421575 São Bernardino";38,59
"421590 São Bonifácio";17,85
"421600 São Carlos";12,78
"421605 São Cristovão do Sul";34,65
"421610 São Domingos";20,94
"421620 São Francisco do Sul";18,79
"421630 São João Batista";6,83
"421635 São João do Itaperiú";10,45
"421625 São João do Oeste";7,20
"421640 São João do Sul";26,30
"421650 São Joaquim";31,88
"421660 São José";8,46
"421670 São José do Cedro";17,38
"421680 São José do Cerrito";47,65
"421690 São Lourenço do Oeste";14,77
"421700 São Ludgero";7,66
"421710 São Martinho";7,07
"421715 São Miguel da Boa Vista";24,54
"421720 São Miguel do Oeste";11,32
"421725 São Pedro de Alcântara";8,82
"421730 Saudades";7,97
"421740 Schroeder";4,64
"421750 Seara";6,26
"421755 Serra Alta";7,75
"421760 Siderópolis";9,81
"421770 Sombrio";13,20
"421775 Sul Brasil";21,65
"421780 Taió";9,41
"421790 Tangará";13,18
"421795 Tigrinhos";25,64
"421800 Tijucas";15,52
"421810 Timbé do Sul";21,58
"421820 Timbó";4,52
"421825 Timbó Grande";47,10
"421830 Três Barras";35,69
"421835 Treviso";7,83
"421840 Treze de Maio";7,27
"421850 Treze Tílias";11,99
"421860 Trombudo Central";10,44
"421870 Tubarão";8,88
"421875 Tunápolis";16,33
"421880 Turvo";8,50
"421885 União do Oeste";12,75
"421890 Urubici";28,17
"421895 Urupema";33,41
"421900 Urussanga";7,59
"421910 Vargeão";24,83
"421915 Vargem";48,79
"421917 Vargem Bonita";26,58
"421920 Vidal Ramos";17,42
"421930 Videira";11,20
"421935 Vitor Meireles";39,52
"421940 Witmarsum";14,92
"421950 Xanxerê";18,48
"421960 Xavantina";12,21
"421970 Xaxim";18,09
"421985 Zortéa";9,76
"420000 Município ignorado - SC";...
"Total";13,86
 Fonte: IBGE - Censos Demográficos
 Notas:
 
 O salário mínimo do último ano para o qual a série está sendo calculada torna-se a referência para toda a série. Esse valor é corrigido
 para todos com base no INPC de julho de 2010, alterando o valor da linha de pobreza e consequentemente a proporção de pobres.
 Nesta tabela, o valor de referência, salário mínimo de 2010, é de R$ 510,00.
 
 Consulte o sítio da Secretaria Estadual de Saúde e do
 IBGE para mais informações.
